enzyme_idx,string_id,uniprot_id
41,3847.A0A0R0ELE0,A0A0R0ELE0
42,3847.A0A0R0ELE4,A0A0R0ELE4
43,3847.A0A0R0ELR4,A0A0R0ELR4
44,3847.A0A0R0ELT1,A0A0R0ELT1
45,3847.A0A0R0ELX3,A0A0R0ELX3
46,3847.A0A0R0EM30,A0A0R0EM30
47,3847.A0A0R0EM53,A0A0R0EM53
48,3847.A0A0R0EML4,A0A0R0EML4
49,3847.A0A0R0EN86,A0A0R0EN86
50,3847.A0A0R0ENB2,A0A0R0ENB2
51,3847.A0A0R0EPV5,A0A0R0EPV5
52,3847.A0A0R0EQ27,A0A0R0EQ27
53,3847.A0A0R0EQE5,A0A0R0EQE5
54,3847.A0A0R0EQG6,A0A0R0EQG6
55,3847.A0A0R0EQY1,A0A0R0EQY1
56,3847.A0A0R0ER06,A0A0R0ER06
57,3847.A0A0R0ER32,A0A0R0ER32
58,3847.A0A0R0ERG6,A0A0R0ERG6
59,3847.A0A0R0ESX6,A0A0R0ESX6
60,3847.A0A0R0ETD9,A0A0R0ETD9
61,3847.A0A0R0ETZ3,A0A0R0ETZ3
62,3847.A0A0R0EU68,A0A0R0EU68
63,3847.A0A0R0EVI2,A0A0R0EVI2
64,3847.A0A0R0EVI7,A0A0R0EVI7
65,3847.A0A0R0EVL3,A0A0R0EVL3
66,3847.A0A0R0EVP4,A0A0R0EVP4
67,3847.A0A0R0EWB7,A0A0R0EWB7
68,3847.A0A0R0EWF1,A0A0R0EWF1
69,3847.A0A0R0EWZ7,A0A0R0EWZ7
70,3847.A0A0R0EX18,A0A0R0EX18
71,3847.A0A0R0EXH6,A0A0R0EXH6
72,3847.A0A0R0EXK4,A0A0R0EXK4
73,3847.A0A0R0EXX1,A0A0R0EXX1
74,3847.A0A0R0EYK0,A0A0R0EYK0
75,3847.A0A0R0EYL4,A0A0R0EYL4
76,3847.A0A0R0EYP5,A0A0R0EYP5
77,3847.A0A0R0EYW2,A0A0R0EYW2
78,3847.A0A0R0F150,A0A0R0F150
79,3847.A0A0R0F179,A0A0R0F179
80,3847.A0A0R0F1G0,A0A0R0F1G0
81,3847.A0A0R0F1N7,A0A0R0F1N7
82,3847.A0A0R0F1Q2,A0A0R0F1Q2
83,3847.A0A0R0F1S7,A0A0R0F1S7
84,3847.A0A0R0F1Z8,A0A0R0F1Z8
85,3847.A0A0R0F2E2,A0A0R0F2E2
86,3847.A0A0R0F2G6,A0A0R0F2G6
87,3847.A0A0R0F382,A0A0R0F382
88,3847.A0A0R0F392,A0A0R0F392
89,3847.A0A0R0F3G4,A0A0R0F3G4
90,3847.A0A0R0F3U9,A0A0R0F3U9
91,3847.A0A0R0F3X4,A0A0R0F3X4
92,3847.A0A0R0F485,A0A0R0F485
93,3847.A0A0R0F4Q7,A0A0R0F4Q7
94,3847.A0A0R0F4R7,A0A0R0F4R7
95,3847.A0A0R0F4U7,A0A0R0F4U7
96,3847.A0A0R0F581,A0A0R0F581
97,3847.A0A0R0F5Q2,A0A0R0F5Q2
98,3847.A0A0R0F6H3,A0A0R0F6H3
99,3847.A0A0R0F6M9,A0A0R0F6M9
100,3847.A0A0R0F6S5,A0A0R0F6S5
101,3847.A0A0R0F7A2,A0A0R0F7A2
102,3847.A0A0R0F7R0,A0A0R0F7R0
103,3847.A0A0R0F8T7,A0A0R0F8T7
104,3847.A0A0R0F9I6,A0A0R0F9I6
105,3847.A0A0R0FAU2,A0A0R0FAU2
106,3847.A0A0R0FAU9,A0A0R0FAU9
107,3847.A0A0R0FC01,A0A0R0FC01
108,3847.A0A0R0FC09,A0A0R0FC09
109,3847.A0A0R0FC11,A0A0R0FC11
110,3847.A0A0R0FCP5,A0A0R0FCP5
111,3847.A0A0R0FD10,A0A0R0FD10
112,3847.A0A0R0FD82,A0A0R0FD82
113,3847.A0A0R0FDC0,A0A0R0FDC0
114,3847.A0A0R0FDC9,A0A0R0FDC9
115,3847.A0A0R0FDG2,A0A0R0FDG2
116,3847.A0A0R0FDG4,A0A0R0FDG4
117,3847.A0A0R0FDQ3,A0A0R0FDQ3
118,3847.A0A0R0FE45,A0A0R0FE45
119,3847.A0A0R0FEX0,A0A0R0FEX0
120,3847.A0A0R0FFF1,A0A0R0FFF1
121,3847.A0A0R0FFX1,A0A0R0FFX1
