metabolite_kegg,uniprot_id,score
C00826,A0A0R4J4B4,0.9623647332191467
C00836,I1K772,0.6042530536651611
C00857,C6TIM5,0.8312203884124756
C00858,I1JK97,0.7275401949882507
C00954,I1MFV2,0.5733610391616821
C00974,A0A0R4J4B4,0.8233798742294312
C00996,A0A0R4J4B4,0.9375383853912354
C00999,A0A0R4J4B4,0.9436290264129639
C01004,C6TIM5,0.7818021178245544
C01054,A0A0R4J4B4,0.9336171746253967
C01081,A0A0R4J4B4,0.8608552813529968
C01134,I1JK97,0.8497089743614197
C01167,I1JK97,0.6714737415313721
C01172,C6TIM5,0.8217504024505615
C01177,C6TIM5,0.7579114437103271
C01179,A0A0R4J4B4,0.9348506927490234
C01185,C6TIM5,0.7827746868133545
C01194,I1JK97,0.8990694880485535
C01204,I1MFV2,0.5718482136726379
C01209,C6TIM5,0.6887558102607727
C01235,A0A0R0HFU2,0.5209149718284607
C01245,I1JID0,0.5127944350242615
C01271,C6TIM5,0.7718730568885803
C01272,I1JK97,0.6237520575523376
C01277,I1JK97,0.5885282158851624
C01284,I1JK97,0.7301120758056641
C01290,I1JK97,0.7634009718894958
C01335,C6TIM5,0.7288886308670044
C01352,A0A0R4J4B4,0.6268189549446106
C01419,A0A0R4J4B4,0.9080674052238464
C01528,A0A0R4J4B4,0.8830322027206421
C01595,C6TIM5,0.6415221095085144
C01617,A0A0R4J4B4,0.8045162558555603
C01832,C6TIM5,0.6689778566360474
C01944,C6TIM5,0.6629723906517029
C01977,C6TIM5,0.8202244639396667
C02128,I1JK97,0.7640475630760193
C02139,C6TIM5,0.8515537977218628
C02188,C6TIM5,0.7178058624267578
C02325,I1JK97,0.8398647904396057
C02495,A0A0R4J4B4,0.943702757358551
C02512,C6TIM5,0.9300538897514343
C02593,C6TIM5,0.6902907490730286
C02666,C6TIM5,0.7795702815055847
C02743,C6TIM5,0.6385583281517029
C02843,Q2PMN4,0.5903058648109436
C02906,C6TIM5,0.8806428909301758
C03024,C6TIM5,0.9458127617835999
C03069,A0A0R4J4B4,0.9652462005615234
C03161,C6TIM5,0.9329867362976074
C03221,C6TIM5,0.9416412115097046
C03692,I1JK97,0.825313925743103
C04079,I1JK97,0.7942790389060974
C04121,C6TIM5,0.7750428318977356
C04145,C6TIM5,0.9097723960876465
C04549,I1JK97,0.5968694090843201
C04677,A0A0R4J4B4,0.9271388649940491
C04688,C6TIM5,0.7041558623313904
C04756,A0A0R4J4B4,0.8762471079826355
C04874,C6TIM5,0.7023419141769409
C05167,A0A0R4J4B4,0.9027227759361267
C05198,A0A0R4J4B4,0.8690716624259949
C05223,C6TIM5,0.6513468027114868
C05306,C6TIM5,0.9033381938934326
C05335,C6TIM5,0.9085177779197693
C05345,I1JK97,0.7270527482032776
C05378,I1JK97,0.7492555379867554
C05382,I1JK97,0.7862852215766907
C05422,C6TIM5,0.850845217704773
C05427,C6TIM5,0.8988818526268005
C05432,A0A0R4J4B4,0.9390712380409241
C05544,C6TIM5,0.8102617263793945
C05545,C6TIM5,0.7974795699119568
C05546,C6TIM5,0.856486976146698
C05610,C6TIM5,0.84490966796875
C05631,C6TIM5,0.8350369930267334
C05665,C6TIM5,0.8428733944892883
C05752,C6TIM5,0.7316348552703857
C05755,C6TIM5,0.7760003209114075
C05761,A0A0R4J338,0.6018020510673523
C05764,C6TIM5,0.6340644359588623
C05921,C6TIM5,0.9103381037712097
C06037,I1JK97,0.7039267420768738
C06249,C6TIM5,0.9340230822563171
C06250,C6TIM5,0.9180669188499451
C06427,C6TIM5,0.6176835894584656
C06563,I1JK97,0.6329662203788757
C09762,A0A0R4J4B4,0.9158859848976135
C10208,I1JK97,0.7154433131217957
C10216,I1JK97,0.7731775045394897
C12126,A0A0R4J338,0.6234445571899414
C12145,C6TIM5,0.78415447473526
C14818,A0A0R4J4B4,0.9291203618049622
C15602,C6TIM5,0.9289276003837585
C15603,C6TIM5,0.9008605480194092
C15796,A0A0R4J4B4,0.9145084023475647
C15972,C6TIM5,0.6880936622619629
C15973,C6TIM5,0.7451682090759277
C16541,C6TIM5,0.8851808905601501
C19865,A0A0R0HBG9,0.515877902507782
