gene_id	ec
100777582	5.4.2.11
100777599	3.2.1.45
100777610	5.6.2.7
100777619	2.7.4.3
100777629	7.6.2.1
100777636	2.1.1.68
100777636	2.1.1.4
100777640	1.3.7.12
100777646	3.1.1.11
100777649	1.13.99.1
100777650	7.2.1.3
100777651	6.4.1.4
100777663	3.2.1.14
100777665	2.3.2.27
100777674	5.6.1.7
100777678	2.3.2.23
100777679	2.3.3.10
100777680	2.3.1.133
100777684	6.1.1.21
100777690	4.1.1.1
100777691	3.1.1.11
100777692	4.2.1.47
100777694	2.3.1.1
100777706	4.6.1.19
100777713	7.6.2.2
100777715	2.3.2.27
100777718	3.2.1.4
100777733	1.11.1.7
100777757	2.5.1.27
100777757	2.5.1.112
100777759	5.2.1.8
100777770	2.5.1.6
100777773	3.2.1.21
100777775	6.3.3.2
100777777	6.3.2.51
100777795	6.1.1.20
100777825	2.1.1.215
100777825	2.1.1.216
100777839	3.6.1.52
100777841	5.6.2.7
100777842	3.1.3.16
100777845	7.2.2.10
100777857	7.2.2.8
100777863	2.5.1.157
100777867	1.1.1.41
100777869	1.4.1.3
100777875	1.13.11.51
100777878	3.2.1.51
100777882	6.2.1.1
100777882	6.2.1.2
100777892	3.4.14.10
100777899	2.3.2.26
100777904	2.7.1.48
100777909	7.6.2.2
100777920	3.1.3.43
100777921	2.7.7.6
100777925	1.10.3.2
100777934	2.7.7.7
100777935	2.5.1.115
100777935	2.5.1.116
100777936	2.3.2.27
100777940	3.2.1.15
100777944	6.3.2.52
100777946	1.11.1.7
100777953	3.2.1.68
100777958	1.14.13.168
100777966	5.5.1.9
100777971	6.1.1.16
100777982	2.1.1.244
100777987	2.7.11.1
100777997	1.18.1.6
100777999	1.14.14.82
100778006	2.7.6.5
100778008	3.2.1.166
100778012	2.3.2.27
100778015	3.1.3.16
100778035	2.7.11.1
100778035	4.6.1.2
100778050	5.1.3.6
100778051	1.11.1.7
100778065	7.1.2.1
100778076	1.14.18.5
100778080	6.3.4.2
100778084	2.5.1.115
100778084	2.5.1.116
100778086	2.4.1.263
100778091	5.6.2.7
100778102	2.7.11.1
100778103	3.4.22.1
100778110	3.5.5.4
100778110	4.2.1.65
100778113	2.1.1.319
100778115	2.7.7.7
100778118	1.23.5.1
100778131	1.1.5.3
100778145	3.1.4.46
100778146	3.1.4.3
100778148	2.3.3.13
100778149	1.3.1.45
100778160	1.8.1.8
100778161	2.7.4.9
100778165	2.7.11.1
100778173	2.7.11.1
100778177	2.6.1.42
100778181	2.3.2.23
100778185	2.4.1.207
100778188	2.1.2.10
100778199	2.4.1.351
100778203	4.1.1.50
100778208	1.1.3.20
100778217	3.2.1.39
100778218	2.3.1.12
100778219	7.2.2.8
100778223	2.1.1.204
100778237	2.4.1.207
100778238	3.1.3.43
100778239	4.6.1.19
100778251	2.4.1.43
