kegg_gene,uniprot
100305735,C6SWF8
100305736,C6SWF9
100305737,C6SWG0
100305738,C6SWG2
100305739,C6SWG7
100305740,C6SWG8
100305741,C6SWH0
100305742,C6SWH1
100305743,C6SWH2
100305744,C6SWH5
100305745,C6SWH4
100305746,C6SWH6
100305747,C6SWH7
100305748,C6SWH9
100305749,C6SWI0
100305750,C6SWI1
100305751,C6SWI2
100305752,C6SWI3
100305753,C6SWI4
100305754,C6SWI5
100305755,C6SWI6
100305756,C6SWI7
100305757,C6SWI8
100305758,C6SWJ0
100305759,C6SWJ2
100305761,C6SWJ4
100305763,C6SWJ7
100305764,C6SWJ6
100305765,C6SWJ8
100305766,C6SWJ9
100305767,C6SWK0
100305768,C6SWK1
100305769,C6SWK2
100305770,C6SWK3
100305771,I1M3X2
100305772,I1N094
100305773,C6SWK7
100305775,C6SWL0
100305776,C6SWL2
100305777,C6SWL4
100305778,C6SWL3
100305779,C6SWL5
100305780,C6SWL6
100305781,C6SWL7
100305782,C6SWL8
100305785,C6SWM1
100305786,C6SWM2
100305787,C6SWM4
100305788,C6SWM3
100305789,C6SWM5
100305790,C6SWM7
100305791,C6SWM8
100305792,C6SWN0
100305793,C6SWM9
100305794,C6SWN1
100305795,C6SWN2
100305796,C6SWN3
100305797,C6SWN4
100305798,C6SWN5
100305799,C6SWN6
100305801,C6SWP0
100305802,C6SWP2
100305804,C6SWP7
100305805,C6SWP8
100305806,C6SWQ0
100305807,C6SWQ1
100305808,C6SWQ2
100305809,C6SWQ5
100305810,C6SWR0
100305811,C6SWQ9
100305812,C6SWR3
100305813,C6SWR4
100305814,C6SWR6
100305815,C6SWR5
100305816,C6SWR7
100305817,C6SWR8
100305818,C6SWS0
100305819,C6SWR9
100305820,C6SWS1
100305821,I1KHW9
100305822,C6SWS2
100305823,C6SWS5
100305824,C6SWS6
100305825,C6SWS7
100305826,C6SWS8
100305827,C6SWS9
100305829,C6SWT2
100305830,C6SWT3
100305831,C6SWT4
100305832,C6SWT5
100305833,I1M081
100305834,C6SWT7
100305835,C6SWT8
100305836,C6SWT9
100305838,C6SWU2
100305839,C6SWU3
100305840,C6SWU5
100305841,C6SWU4
100305842,C6SWU6
100305843,C6SWU7
100305845,C6SWV0
100305846,C6SWV1
100305847,C6SWV3
100305848,I1KM39
100305849,C6SWV4
100305850,C6SWV7
100305851,C6SWV9
100305853,C6SWW2
100305855,C6SWW4
100305856,C6SWW8
100305857,C6SWW7
100305858,C6SWW9
100305859,C6SWX3
100305860,C6SWX4
100305861,C6SWX5
100305862,C6SWX8
100305863,C6SWX9
100305864,C6SWY0
100305865,C6SWY3
100305866,C6SWY5
100305867,C6SWY6
100305868,C6SWY9
100305869,C6SWZ0
100305870,C6SWZ2
100305871,C6SWZ4
100305872,C6SWZ5
100305873,C6SWZ7
100305874,C6T3V1
100305876,C6SX02
100305877,C6SX03
100305878,C6SX04
100305879,C6SX05
100305880,C6SX07
100305881,C6SX08
100305882,C6SX10
100305883,C6SX11
100305884,C6SX12
100305885,C6SX13
100305886,C6SX14
100305887,C6SX15
100305888,C6SX16
100305889,C6SX19
100305891,C6SX21
100305892,C6SX23
100305893,I1KXK6
100305894,I1LD10
100305895,C6SX26
100305896,C6SX27
100305897,C6SX28
100305898,C6SX30
100305899,I1LHE0
100305900,C6SX36
100305901,A0A0R0IVX9
100305902,C6SX39
100305903,Q38JE0
100305904,I1LW63
100305906,C6SX42
100305907,C6SX44
100305908,C6SX45
100305909,C6SX46
100305910,C6SX47
100305911,C6SX48
100305912,C6SX50
100305913,I1MAQ6
100305915,C6SX55
100305916,C6SX54
100305917,C6SX56
100305918,K7MVB4
100305919,C6SX58
100305920,C6SX61
100305921,C6SX62
100305922,C6SX63
100305923,C6SX68
100305924,C6SX69
100305926,C6SX73
100305927,C6SX74
100305928,C6SX77
100305929,C6SX78
100305930,C6SX79
100305931,C6SX80
100305932,C6SX81
100305933,C6SX82
100305934,C6SX84
100305935,C6SX85
100305936,C6SX86
100305937,C6SX87
100305938,C6SX88
100305939,C6SX91
100305940,C6SX92
100305941,C6SX96
100305942,C6SX95
100305943,C6SX99
100305944,C6SXA2
100305945,C6SXA6
100305947,C6SXA8
100305948,C6SXA9
100305949,C6SXB0
100305950,C6SXB1
100305952,C6SXB6
100305953,C6SXB7
100305955,C6SXC0
100305957,C6SXC1
100305958,C6SXC3
100305959,C6SXC4
100305960,C6SXC7
100305961,C6SXC8
100305963,C6SXD6
100305964,C6SXD7
100305965,C6SXD8
100305966,C6SXE0
100305967,C6SXE1
100305968,C6SXE2
100305969,C6SXE4
100305970,C6SXE5
100305971,C6SXE6
100305972,C6SXE7
100305973,C6SXE8
100305974,C6SXE9
100305975,C6SXF0
100305976,K7LBA1
100305977,C6SXF3
100305978,C6SXF4
100305979,C6SXF5
100305980,I1KAM7
100305981,C6SXG0
100305982,C6SXG6
100305983,C6SXG7
100305984,C6SXG8
100305985,C6SXG9
100305986,C6SXH2
100305987,C6SXH1
100305989,C6SXH4
100305990,C6SXH5
100305991,C6SXH6
100305992,C6SXH7
100305993,C6SXH8
100305995,C6SXI1
100305997,C6SXI3
100305998,C6SXI4
100305999,C6SXI5
100306000,C6SXI8
100306001,C6SXI9
100306003,C6SXJ3
100306004,C6SXJ4
100306005,C6SXJ6
