enzyme_ec	metabolite_id	reaction_id	is_substrate	is_product
1.13.11.81	C00266	R11037	False	True
1.13.11.81	C21065	R11037	False	True
1.13.11.81	C04874	R11037	True	False
1.13.11.81	C00058	R11037	False	True
1.13.11.92	C00162	R12771	True	False
1.13.11.92	C00007	R12771	True	False
1.13.11.92	C22387	R12771	False	True
1.13.11.92	C16341	R12775	False	True
1.13.11.92	C06427	R12775	True	False
1.13.11.93	C01087	R13011	False	True
1.13.11.93	C00007	R13011	True	False
1.13.11.93	C00322	R13011	True	False
1.13.99.1	C00191	R01184	False	True
1.13.99.1	C00137	R01184	True	False
1.13.99.1	C00007	R01184	True	False
1.14.11.12	C00042	R03806	False	True
1.14.11.12	C00007	R03806	True	False
1.14.11.12	C02034	R03806	False	True
1.14.11.12	C06095	R03806	True	False
1.14.11.12	C00026	R03806	True	False
1.14.11.12	C02035	R03807	False	True
1.14.11.12	C06094	R05097	True	False
1.14.11.12	C11857	R06322	True	False
1.14.11.12	C11860	R06322	False	True
1.14.11.12	C11861	R06323	False	True
1.14.11.12	C11863	R06326	False	True
1.14.11.12	C12308	R07184	True	False
1.14.11.13	C00042	R03809	False	True
1.14.11.13	C00007	R03809	True	False
1.14.11.13	C06096	R03809	False	True
1.14.11.13	C02035	R03809	True	False
1.14.11.13	C00026	R03809	True	False
1.14.11.13	C11865	R06337	False	True
1.14.11.13	C11863	R06337	True	False
1.14.11.13	C11868	R06338	False	True
1.14.11.13	C11864	R06338	True	False
1.14.11.13	C11869	R06342	False	True
1.14.11.13	C11854	R06343	False	True
1.14.11.13	C11855	R06344	False	True
1.14.11.13	C11870	R06345	False	True
1.14.11.13	C03579	R06345	True	False
1.14.11.13	C00859	R03008	True	False
1.14.11.15	C00042	R06336	False	True
1.14.11.15	C00007	R06336	True	False
1.14.11.15	C11864	R06336	False	True
1.14.11.15	C00026	R06336	True	False
1.14.11.15	C11863	R06336	True	False
1.14.11.15	C00859	R03009	False	True
1.14.11.15	C02035	R03009	True	False
1.14.11.18	C00042	R05722	False	True
1.14.11.18	C00007	R05722	True	False
1.14.11.18	C00026	R05722	True	False
1.14.11.18	C02060	R05722	True	False
1.14.11.18	C07343	R05722	False	True
1.14.11.2	C00042	R01252	False	True
1.14.11.2	C00007	R01252	True	False
1.14.11.2	C01157	R01252	False	True
1.14.11.2	C00026	R01252	True	False
1.14.11.2	C00148	R01252	True	False
1.14.11.2	C04398	R03219	False	True
1.14.11.2	C01078	R03219	True	False
1.14.11.27	C05545	R10056	True	False
1.14.11.27	C02188	R10056	False	True
1.14.11.27	C00042	R10056	False	True
1.14.11.27	C00007	R10056	True	False
1.14.11.27	C00067	R10056	False	True
1.14.11.27	C00026	R10056	True	False
1.14.11.27	C05544	R09510	False	True
1.14.11.51	C00042	R11345	False	True
1.14.11.51	C00007	R11345	True	False
1.14.11.51	C00821	R11345	False	True
1.14.11.51	C00067	R11345	False	True
1.14.11.51	C03391	R11345	True	False
1.14.11.51	C00026	R11345	True	False
1.14.11.60	C00042	R12222	False	True
1.14.11.60	C01752	R12222	True	False
1.14.11.60	C00007	R12222	True	False
1.14.11.60	C09265	R12222	False	True
1.14.11.60	C00026	R12222	True	False
1.14.11.61	C00042	R11549	False	True
1.14.11.61	C00007	R11549	True	False
1.14.11.61	C21459	R11549	False	True
1.14.11.61	C00026	R11549	True	False
1.14.11.61	C00406	R11549	True	False
1.14.11.63	C02188	R12315	True	False
1.14.11.63	C00042	R12315	False	True
1.14.11.63	C00007	R12315	True	False
1.14.11.63	C22076	R12315	False	True
1.14.11.63	C00026	R12315	True	False
1.14.11.65	C05545	R10056	True	False
1.14.11.65	C02188	R10056	False	True
1.14.11.65	C00042	R10056	False	True
1.14.11.65	C00007	R10056	True	False
1.14.11.65	C00067	R10056	False	True
1.14.11.65	C00026	R10056	True	False
1.14.11.65	C05544	R09510	False	True
1.14.11.67	C02188	R12461	False	True
1.14.11.67	C00042	R12461	False	True
1.14.11.67	C00007	R12461	True	False
1.14.11.67	C05546	R12461	True	False
1.14.11.67	C00067	R12461	False	True
1.14.11.67	C00026	R12461	True	False
1.14.11.67	C05545	R12460	False	True
1.14.11.67	C05544	R09510	False	True
1.14.11.7	C00042	R03218	False	True
1.14.11.7	C00007	R03218	True	False
1.14.11.7	C01078	R03218	True	False
1.14.11.7	C04397	R03218	False	True
1.14.11.7	C00026	R03218	True	False
1.14.11.9	C00974	R02444	False	True
1.14.11.9	C00042	R02444	False	True
1.14.11.9	C00509	R02444	True	False
1.14.11.9	C00007	R02444	True	False
1.14.11.9	C00026	R02444	True	False
1.14.11.9	C05631	R03640	True	False
1.14.11.9	C01617	R03640	False	True
1.14.11.9	C05911	R05039	True	False
1.14.11.9	C02906	R05039	False	True
1.14.11.9	C02099	R07329	True	False
1.14.11.9	C21417	R07329	False	True
1.14.11.9	C09826	R07993	False	True
1.14.11.9	C09827	R07993	True	False
1.14.11.9	C09762	R07996	True	False
1.14.11.9	C09751	R07996	False	True
1.14.11.9	C09614	R07997	True	False
1.14.11.9	C01378	R07997	False	True
1.14.13.122	C02139	R10080	True	False
1.14.13.122	C00007	R10080	True	False
1.14.13.122	C16541	R10080	False	True
1.14.13.122	C16540	R08203	False	True
1.14.13.168	C00331	R10181	True	False
1.14.13.168	C00007	R10181	True	False
1.14.13.168	C00954	R10181	False	True
1.14.13.39	C00327	R00557	False	True
1.14.13.39	C00062	R00557	True	False
1.14.13.39	C00007	R00557	True	False
1.14.13.39	C00533	R00557	False	True
1.14.13.39	C05933	R00558	False	True
1.14.13.8	C04731	R04523	False	True
1.14.13.8	C00007	R04523	True	False
1.14.13.8	C04599	R04523	True	False
1.14.13.8	C16545	R08266	False	True
1.14.13.8	C07108	R08266	True	False
